Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,false,33.90,23.90,5.97,,
2021-01-02,false,33.90,23.90,5.97,,
2021-01-03,false,33.90,23.90,5.97,,
2021-01-04,false,33.90,23.90,5.97,,
2021-01-05,false,33.90,23.90,5.97,,
2021-01-06,false,33.90,23.90,5.97,,
2021-01-07,false,33.90,23.90,5.97,,
2021-01-08,false,33.90,23.90,5.97,,
2021-01-09,false,33.90,23.90,5.97,,
2021-01-10,true,33.90,23.90,5.97,,
2021-01-11,true,33.90,23.90,5.97,,
2021-01-12,true,33.90,23.90,5.97,,
2021-01-13,true,33.90,23.90,5.97,,
2021-01-14,true,33.90,23.90,5.97,,
2021-01-15,true,33.90,23.90,5.97,,
2021-01-16,true,33.90,23.90,5.97,,
2021-01-17,true,33.90,23.90,5.97,,
2021-01-18,true,33.90,23.90,5.97,,
2021-01-19,true,33.90,23.90,5.97,,
2021-01-20,true,33.90,23.90,5.97,,
2021-01-21,true,33.90,23.90,5.97,,
2021-01-22,true,33.90,23.90,5.97,,
2021-01-23,true,33.90,23.90,5.97,,
2021-01-24,true,33.90,23.90,5.97,,
2021-01-25,true,33.90,23.90,5.97,,
2021-01-26,true,33.90,23.90,5.97,,
2021-01-27,true,33.90,23.90,5.97,,
