Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-03-01,true,99.90,73.90,14.78,,
2021-03-02,true,99.90,73.90,14.78,,
2021-03-03,true,99.90,73.90,14.78,,
2021-03-04,true,99.90,73.90,14.78,,
2021-03-05,true,99.90,73.90,14.78,,
2021-03-06,true,99.90,73.90,14.78,,
2021-03-07,true,99.90,73.90,14.78,,
2021-03-08,true,99.90,73.90,14.78,,
2021-03-09,true,99.90,73.90,14.78,,
2021-03-10,true,99.90,73.90,14.78,,
2021-03-11,true,99.90,73.90,14.78,,
2021-03-12,true,99.90,73.90,14.78,,
2021-03-13,true,99.90,73.90,14.78,,
2021-03-14,true,99.90,73.90,14.78,,
