Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,118.00,94.00,0.49,,
2021-01-02,true,118.00,94.00,0.49,,
2021-01-03,true,118.00,94.00,0.49,,
2021-01-04,true,118.00,94.00,0.49,,
2021-01-05,true,118.00,94.00,0.49,,
2021-01-06,true,118.00,94.00,0.49,,
2021-01-07,true,118.00,94.00,0.49,,
2021-01-08,true,118.00,94.00,0.49,,
2021-01-09,true,118.00,94.00,0.49,,
2021-01-10,true,118.00,94.00,0.49,,
2021-01-11,true,118.00,94.00,0.49,,
2021-01-12,false,118.00,94.00,0.49,,
2021-01-13,true,118.00,94.00,0.49,,
2021-01-14,true,118.00,94.00,0.49,,
