Date,Purchasable,Regular Price,Best Price,Unit Price,Promotions,Remarks
2021-01-01,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-02,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-03,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-04,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-05,true,109.60,50.00,3.13,,
2021-01-06,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-07,false,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-08,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-09,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-10,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-11,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。
**【新春牛mall王】1月11日限定!**
結賬時輸入 ""5NEWYR21"" 精選產品享額外95折 ！ 只限1月11日！現附上「電子版．新春牛mall王購物攻略」，即睇更多激筍優惠！",
2021-01-12,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-13,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**日版出前一丁$40換購2包！**
凡購買指定產品，即可以$40 換購2袋 日版出前一丁 5包裝(附麻油) ！  
產品賞味期限:2021年2月4日  
每單交易可享此優惠1次。  
換購貨品數量有限，換完即止。",
2021-01-14,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-15,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-16,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-17,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-18,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-19,true,109.60,50.00,3.13,,
2021-01-20,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-21,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-22,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-23,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-24,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-25,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****",
2021-01-26,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米**
買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米1kg。每次交易最多送一包，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-01-27,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。",
2021-01-28,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米**
買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米1kg。每次交易最多送一包，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**【台灣肉乾試食價】**
【台灣肉乾試食價】買精選產品即可以$55/$75換購台灣製肉乾。數量有限，換完即止，至2021年2月14日。",
2021-01-29,true,109.60,59.90,3.74,"****買2套$117.40  
平均****$58.70****
****買4套$227.62  
平均****$56.91****
****買6套$334.24  
平均****$55.71****
**買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米**
買指定可口可樂旗下產品滿$200或以上，即送金象牌百搭珍珠米1kg。每次交易最多送一包，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**買指定加系汽水滿$100或以上，即送可口可樂 多用途旅行袋**
買指定加系汽水滿$100或以上，即送可口可樂多用途旅行袋。每次交易最多送一個，贈品數量有限，最終以結賬頁面(購物車)顯示為準，送完即止。
**【台灣肉乾試食價】**
【台灣肉乾試食價】買精選產品即可以$55/$75換購台灣製肉乾。數量有限，換完即止，至2021年2月14日。",
